STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
41,1,950100,1400000US41001950100,41001950100,9501,Baker,OR,Oregon,"Census Tract 9501, Baker County, Oregon",2692,215,1122,1.5984,0.6675,0.7984,0.3537,0,0.0328,0.0005,0.0101,0.0434,0.0065,0,0.283,0,0,0,0.9961,1.2791,0.6802,0.5209,0.3151,0.8619,1.6979,0.6135,0.2741,0.2084,0,0.4825,0.1577,0.4823,0.4823,0.4823,3.9852,0.1083,0.1891,0.1891,0.1891,0.617,0.4486,0.6061,0.3086,0.2978,0.8187,0.7671,3.8639,0.5837,0.9453,0.2458,0.9449,0.3205,2.4565,0.8418,0.9529,0.5527,1.5056,0.8809,8.0151,0.6901,1,1,1,0,1,4,0.8,0,5.9,0.02,14.86,0,0.04,0,0,0,0.17,74.14,45.18,4.94,1.59,3.96,0,45.02,9.3,36.0832,8.8,5.7,21.2,20.7185,14.1,25.6,28.3,18.2,23.6,0.5,30.3,0.4,37.8,11.5,9.3,15.4,14.8,0.7959,0.8594,0.9447,0.8503,0.6567
41,1,950200,1400000US41001950200,41001950200,9502,Baker,OR,Oregon,"Census Tract 9502, Baker County, Oregon",3283,310,3954,1.127,0.4283,0.727,0.2992,0,0.0534,0.0462,0.0272,0.1268,0.0206,0,0.5038,0,0,0,0,0.5038,0.3253,0.7274,0.6287,0.3734,1.7295,0.6376,0.4937,0.1803,0,0.674,0.2602,0.1886,0.1886,0.1886,3.2227,0.0347,0.1425,0.1425,0.1425,0.7531,0.391,0.9478,0.5064,0.6507,0.584,0.7671,4.6001,0.7331,0.7859,0.6384,0.9379,0.2881,2.6503,0.9253,0.6391,0,0.6391,0.3647,8.032,0.6923,0,1,1,0,0,2,0.4,0,6.31,0.1,16.73,0,15.13,0,0,0,0,15.33,72.13,11.39,33.98,0.58,0,5.6,7.1,44.8181,7.7,13.8,32,31.3814,8.4,25.6,20.9,24,23.1,0.4,2.7,0,32.7,11,8.6,14.9,12.1,0.5477,0.7919,0.8908,0.6563,0.6058
41,1,950300,1400000US41001950300,41001950300,9503,Baker,OR,Oregon,"Census Tract 9503, Baker County, Oregon",2521,205,1375,1.7945,0.7475,0.7945,0.3505,0,0.095,0.0125,0.0285,0.136,0.022,0,0.2993,0,0,0,0,0.2993,0.2256,0.7464,0.4643,0.6357,1.8464,0.7182,0.3575,0.2668,0,0.6243,0.2301,0.4132,0.4132,0.4132,3.3192,0.0409,0.1094,0.1094,0.1094,0.7679,0.735,0.7397,0.6159,0.5577,0.3861,0.7391,4.5414,0.7218,0.8592,0.5761,0.9774,0,2.4127,0.8176,0.8422,0.5527,1.3949,0.8217,8.4584,0.7536,1,1,1,1,1,5,1,0,6.76,0.05,16.84,0,0.28,0,0,0,0,11.88,58.47,7.44,12.11,11.75,0,34.75,5.7,45.8976,16.6,7.2,39.6,28.0249,5.5,24.4,23,23.1,27.1,0,14.3,0.4,37.5,12.1,8.9,16.9,14.7,0.7849,0.9111,0.9192,0.8456,0.7899
41,1,950400,1400000US41001950400,41001950400,9504,Baker,OR,Oregon,"Census Tract 9504, Baker County, Oregon",2676,240,2813,1.2202,0.4802,0.6202,0.2238,0,0.063,0.1445,0.0293,0.2368,0.0331,0,0,0,0,0,0,0,0,1,0.5624,0.1515,1.7139,0.6263,0.4295,0.7666,0,1.1961,0.5729,0.1904,0.1904,0.1904,3.3372,0.0421,0.2073,0.2073,0.2073,0.5197,0.2915,0.7466,0.446,0.3856,0.3944,0.7219,3.5057,0.505,0.9438,0.129,0.9108,0,1.9836,0.4769,0.7919,0.8192,1.6111,0.9305,7.3077,0.5781,1,1,1,0,0,3,0.6,0,6.44,0.17,16.91,0,0,0,0,0,0,0,66.69,14.39,22.61,100,0,5.81,10.2,30.9488,6,7.3,28.3,23.0472,5.6,23.7,28.1,15.1,21.6,0,10.2,2.5,35.5,10.9,9.3,14.4,12.2,0.7002,0.7741,0.9447,0.6662,0.5495
41,1,950500,1400000US41001950500,41001950500,9505,Baker,OR,Oregon,"Census Tract 9505, Baker County, Oregon",2731,190,3583,1.4556,0.6017,1.0556,0.5615,0,0.0561,0.0309,0.0365,0.1235,0.0202,0,0.3194,0,0.6723,0,0,0.9917,0.6058,1,0.7508,0.3779,2.1287,0.884,0.347,0.3098,0.8919,1.5487,0.7757,0.3619,0.3619,0.3619,5.1545,0.3226,0.3433,0.3433,0.3433,0.4368,0.5285,0.5492,0.4281,0.5512,0.6942,0.555,3.743,0.5571,0.8477,0.251,0.7848,0.5837,2.4672,0.8474,0.7904,0.9677,1.7581,0.9765,8.3116,0.733,0,1,1,0,0,2,0.4,0,6.35,0.08,17.42,0,0.77,0,1.62,0,0,0,81.59,11.33,10.65,17.63,3.78,27.67,18,26.8584,10.5,5.2,27.3,27.8112,10.6,18.1,22.6,18.3,17.5,2,10.1,18.1,30.6,10.5,7.9,14.4,10.6,0.4213,0.6964,0.778,0.4854,0.5495
41,1,950600,1400000US41001950600,41001950600,9506,Baker,OR,Oregon,"Census Tract 9506, Baker County, Oregon",2116,218,634,1.4045,0.5774,0.6045,0.2133,0,0.0556,0.0042,0.0462,0.106,0.0175,0,0.2889,0,0,0,0,0.2889,0.2206,0.6203,0.5502,0.8376,2.0081,0.8208,0.2738,0.1895,0,0.4633,0.1498,0.5128,0.5128,0.5128,3.3791,0.0455,0.1402,0.1402,0.1402,0.5745,0.2563,0.7327,0.4249,0.2755,0.4176,0.5614,3.2429,0.4461,0.9784,0.212,0.9169,0.2137,2.321,0.7586,0.8467,0.6383,1.485,0.8705,7.1891,0.559,1,1,1,0,1,4,0.8,0,6.34,0.03,18.1,0,0.11,0,0,0,0,42.56,65.64,5.22,1.57,1.48,0,49.96,7,33.7607,5.4,7.1,27.1,20.1226,5.9,18.3,35.8,17.5,21.9,0.2,14.7,0.7,38.6,10.8,10.3,13.3,13.9,0.8215,0.7575,0.9765,0.8009,0.4205
41,3,100,1400000US41003000100,41003000100,1,Benton,OR,Oregon,"Census Tract 1, Benton County, Oregon",7612,455,4203,1.397,0.5736,1.197,0.6624,0,0.2047,0.279,0.2333,0.717,0.1012,0.9423,0.7958,0.9688,0,0,0,2.7069,0.9638,0.5075,0.3003,0.1781,0.9859,0.0799,0.725,0.7273,0.9313,2.3836,0.9809,0.6604,0.6604,0.6604,7.4538,0.8071,0.3459,0.3459,0.3459,0.6304,0.3407,0.417,0.732,0.7748,0.4687,0.1488,3.5124,0.5063,0.192,0.2728,0.4603,0,0.9251,0.0303,0.7827,0.5876,1.3703,0.8084,6.1537,0.3899,0,1,0,0,0,1,0.2,0,7.55,0.25,24.92,5.1,90.35,37.17,0,0,0,78.09,43.81,14.04,91.23,97.77,16.64,75.5,18.2,36.876,6.8,4.2,49.5,36.9466,6.6,6.9,10.2,18.7,12,0,9.6,0.5,21.3,10.7,4.8,15.2,6.5,0.0472,0.7373,0.1505,0.0573,0.6368
41,3,202,1400000US41003000202,41003000202,2.02,Benton,OR,Oregon,"Census Tract 2.02, Benton County, Oregon",5375,361,4886,0.5713,0.1229,0.3713,0.0845,0,0.1794,0.1445,0.1899,0.5138,0.0684,0,0.5224,0.9288,0,0,0,1.4512,0.7349,0.6032,0.1588,0.2536,1.0156,0.0912,0.4913,0.55,0,1.0413,0.5024,0.7891,0.7891,0.7891,4.811,0.2484,0.3663,0.3663,0.3663,0.3769,0.0237,0.1858,0.6368,0.6611,0.1982,0.0769,2.1594,0.2224,0.7693,0.2253,0.3217,0.3491,1.6654,0.2296,0,0,0,0,4.1911,0.1229,0,0,1,0,0,1,0.2,0,7.35,0.17,23.78,0,18.15,3.9,0,0,0,48.12,27.04,13.17,33.47,62.42,0,94.82,19.5,23.9693,1,2.6,41.2,31.7884,3.3,4.6,20.5,17.8,10.1,0.6,0,0,25.7,9.6,7.7,11.5,7.4,0.1585,0.4568,0.7342,0.1101,0.2171
41,3,400,1400000US41003000400,41003000400,4,Benton,OR,Oregon,"Census Tract 4, Benton County, Oregon",8055,360,4933,0.477,0.0859,0.277,0.0485,0,0.1949,0.1792,0.2307,0.6048,0.0824,0,0,0,0,0,0,0,0,0.4308,0.4212,0.3057,1.1577,0.1584,0.3761,0.2992,0,0.6753,0.2611,0.9093,0.9093,0.9093,3.3471,0.043,0.3766,0.3766,0.3766,0.2184,0.034,0.7663,0.5548,0.4968,0.1632,0.0547,2.2882,0.2469,0.7562,0.2954,0.4024,0.6037,2.0577,0.5461,0,0.3832,0.3832,0.1614,5.1057,0.234,0,0,1,0,0,1,0.2,0,7.47,0.19,24.85,0,0,0,0,0,0,96.36,54.75,12.46,14.73,16.18,0,100,20.2,16.306,1.3,7.6,35.1,26.1198,2.9,3.8,20.2,19.1,11.2,2.2,0,0.1,27.2,9.4,7.8,10.8,8.1,0.2282,0.3966,0.7565,0.174,0.1483
41,3,500,1400000US41003000500,41003000500,5,Benton,OR,Oregon,"Census Tract 5, Benton County, Oregon",3374,260,5475,0.6206,0.1451,0.4206,0.1063,0,0.2071,0.1099,0.2359,0.5529,0.0746,0,0.2988,0,0,0,0,0.2988,0.2253,0.5058,0.4016,0.6566,1.564,0.5028,0.5769,0.5106,0,1.0875,0.523,0.8367,0.8367,0.8367,4.3399,0.1601,0.3141,0.3141,0.3141,0.2803,0.1204,0.1858,0.2047,0.3871,0.1384,0.3264,1.6431,0.1354,0.9542,0.2075,0.4024,0.2881,1.8522,0.3653,0.7228,0.7705,1.4933,0.8745,5.3027,0.2605,0,0,1,0,0,1,0.2,0,7.57,0.15,24.99,0,0.27,0,0,0,0,78.61,53.03,7.22,52.92,53.69,0,98.95,16.2,19.2967,3.1,2.6,16.3,23.088,2.6,11.7,29.5,17.4,11.2,0.4,6.1,1.8,32.4,9.6,9.6,10.6,9.8,0.53,0.4568,0.9585,0.3826,0.1297
